id	titulo	isrc
can_0bfd3e96d5cc	el simón	QZES62434951
can_30cf03fd3173	EN LA BARRIGA	QZTBA2481819
can_oeaqjynj3zj8	ENVIDIA	BK4DA2500852
can_6dy9c83s2yhf	ES LO KE HAY (DAY 'N' NIGHT REMIX REMIX)	BK4DA2455907
can_828cj1krir40	ESPERA	BK4DA2541209
can_nsvjkbf12gum	ESTA PIBA	BK4DA2504134
can_oeah2m667qez	ESTATUA DE LA LIBERTAD	BK4DA2507889
can_colab_sexojaj01	EXCLUSIVE (sexojaja)	CAGOO2516607
can_730be78c4285	FANTA Y LEAN	QM6P42444964
can_haso0lf5ion4	FIESTA PRIVADA	BK4DA2450295
can_i1rnjvo3631z	FIRST RAPPER	BK4DA2574149
can_lzvp4r4121qk	FREESTYLE 2000	BK4DA2546059
can_0cb9d28dfa79	FRUITY	GX3Q92312910
can_supf1ajnhfhq	FUMAO	BK4DA2527581
can_773776cfbb70	GALOPANDO EN UN CABALLO	QM6MZ2421534
can_4618c1162a37	GIGOLO EUROPEO (BOUNCE)	QZHN42402243
can_cfb5adbf050c	GLO MALAGA	GBLFP2357725
can_7bb2744a7ce1	GlockChampions	QZNWZ2309430
can_0ee1b4244e9d	GLORYTROTTER	QM6P42426862
can_1da1194600cc	GUADALINFO SONG	GX53U2080811
can_5mojfsm9itwt	GUCCI	BK4DA2609597
can_96fdb8i2iq3g	GYAL ARMA LETAL	BK4DA2504951
can_weweostw8c7n	HBA	BK4DA2546050
can_8jd7htdwtk6u	HONEY & PERC	BK4DA2536483
can_4yfzkqldkwyv	IMPERIO	BK4DA2531602
can_j6vri8f2rc95	INTRO	BK4DA2504946
can_princ_intro0001	INTRO EL PRÍNCIPE	BK4DA2609588
can_b08xbnwbg700	INTRO MY SEXY BANG BANG 2	BK4DA2527276
can_927w5j5l10fr	INTRO PRESIDENCIAL	BK4DA2531599
can_9b534f759481	INTRO WAVYYY SOUTH SEA	UKXN22204125
can_b401a9f78060	JAJAJA	QZHN42437984
can_p6n14hkv0scc	KENNEDY	BK4DA2531601
can_cqwggzrqiuv1	KISS ME TRU THE BLUNT (BONUS TRACK)	BK4DA2600162
can_colab_mushkaa01	LA MÀQUINA DEL RITME (Mushkaa)	UYB282513763
can_u7e365gif04a	LA NUEVA RELIGIÓN	BK4DA2511775
can_ba5c10ca4304	La Paca	GBMA22499177
can_d6786fe90276	La vuelta al cole	QZTBB2337603
can_5d1e6246b0a5	LADYGAGGA	QZES82400686
can_6sgtvom3788r	LATINAS EVERYWHERE (WEKE WEKE)	BK4DA2513164
can_5z9j9jmfjcpx	LEANCOLN	BK4DA2531606
can_w0ip0h3a2zxv	LEANCOLN REMIX	BK4DA2550424
can_nk6gepglghor	LEBRON JAMES	BK4DA2609598
can_myk1rb1kmb3y	LLAMADO TELEFONICO	BK4DA2527299
can_07ppvodhnss5	LOCKED	BK4DA2565318
can_8dcjwm8znytn	LOLLYPOP	BK4DA2463505
can_1imgh5iprs1j	LOUD (BONUS TRACK)	BK4DA2531607
can_89703ab10982	M & TOSEINA	QM6N22405280
can_ggnjom9l4xup	MAC AND CHEESE	BK4DA2629347
can_65cetp6g09ma	MACONHA	BK4DA2679209
can_7k0f1q3h6etq	MADONNA	BK4DA2546066
can_da6s1prs0fz9	MAS DINERO MAS PROBLEMAS	BK4DA2546095
can_mwg0kzzeb7bq	MASONES	BK4DA2606430
can_c7o81xwnq8ag	MASTER CHIEF (TERNERA)	BK4DA2451743
can_x36qf5yncn2e	MEJOR NO	BK4DA2558883
can_smn8w02q9s28	MI GATA ^^	BK4DA2679210
can_3f2d4b00499a	MOLLI	QZNWV2375731
can_ca1adf5d497d	MONSTER	QM7282460430
can_hgwqwcy1dqew	MR. FINO	BK4DA2503389
can_47u7lqga0g9t	Mr. Fino Riddim The Mixtape · liquidacion del proyecto	
can_jme445e44czj	MTGA	BK4DA2531600
can_q4m5k0tl1h6b	MUSICA BASADA	BK4DA2516598
can_s0mwe9j0s838	MUSICA PORNO	BK4DA2526229
can_tdl3wfckskoq	NBA	BK4DA2600158
can_keeozh4tzloe	Necesario (Miss me)	BK4DA2507453
can_49w76ms3si30	NEED YOUR WARMTH	BK4DA2609591
can_7pmyfc9hm7l8	NENE LA ESPERANZA	BK4DA2623896
can_vv7m18r21sej	NEW MONEY	BK4DA2504948
can_i95xthej4c5i	NO ME RAYES MAS	BK4DA2451362
can_eq5o3zetrxt9	No para de sonar	BK4DA2528666
can_d07c4736cf06	NOME ESTRESA	UKXN22204127
can_ef31mtoow184	OKAY MOLLY	BK4DA2609593
can_6734b637c9b1	OLD EL PASO	GX53U2080812
can_f8ad9a5baca5	OMG	QZFZ72453512
can_mg4uytq2jaui	ON your mind	BK4DA2535537
can_jol6cat2wmjs	ORILLA	BK4DA2510221
can_omm05h6pd4i5	OSAMA BIN GUAPO (PAW PAW PAW)	BK4DA2457386
can_c33546ad5bc4	OSIRIS	QZHN72463888
can_tco97rmh2y1h	OTRA VEZ	BK4DA2504950
can_iic6gy6h0xc2	PERRAS Y PORROS	BK4DA2560984
can_18bkfq7qfs1p	PIERDO EL COCO	BK4DA2600157
can_ueegioybd1jg	PIÑA COLADA	BK4DA2507888
can_opoobkiyj6e3	PLAKITAS	BK4DA2527280
can_5aca7e823519	POLLO EMPANADO	QZTB82425642
can_0u26tnu57723	POLO CAMISETA	BK4DA2550158
can_b197aa0a5000	POLOTEAM	QZTBF2385876
can_000110a90968	POLYESTER MAWY	UKXN22288680
can_oft6k8kz6n1o	PRENDE EL DRY	BK4DA2679208
can_esu7m5x3zbg3	PRIMERA DAMA (CYBERSEXO)	BK4DA2524360
can_lyi8vn5n82gc	PROBLEM?	BK4DA2545388
can_aeb30d92c32f	REINA DEL HASH	GBMA22499178
can_a900dd189ce1	RETRASADO	QM6P42445017
can_6exjlynp8les	RIRI	BK4DA2500694
can_6yymmui4pn9s	ROBA SHOWS	BK4DA2629577
can_42cd4bf26c70	ROLLINBACKLLYWOODS	QM6P42434722
can_3ri7s4g24l4l	ROLLING EN EL AUDI	BK4DA2609592
can_e5ecc0af703b	SEXXXTING	GBLFP2405478
can_025e6a06f78e	SEXYJEANS	QZFYY2446418
can_u973wy89b2if	SIEMPRE NICE	BK4DA2564517
can_h5kl5ijbwuvs	SIGO AQUÍ	BK4DA2600155
can_eeb38fd4891c	SKITTLE COOCHIE	UKXN22221436
can_159qhtofbthd	SKY CLUB	BK4DA2636524
can_kpzvto9zgfnb	SKY CLUB PRERELEASE	BK4DA2638328
can_1f0cw1p4ejkf	SKY W DIAMONDS	BK4DA2500695
can_dgoch0611anu	SMINT	BK4DA2500692
can_5c74ebc28136	Southside	QM7282409489
can_7604fc884ea5	SPEED FRUITY	GX3Q92312911
can_6c71d59d299e	SPIDERMAN	QM6N22405277
can_093d245e1f4d	SUBE ARRIBA	QZTBD2489905
can_0bpn2jq98efn	SUPERGORDO	BK4DA2511191
can_2116ca723585	SWAG YISUS	QM6P42490013
can_h5z2i2q3gngp	SWAGPPENHEIMER	BK4DA2446773
can_qrexc44xq5hs	SWIMMING	BK4DA2609590
can_375d41e19c61	TATIANA	QZWFL2394263
can_7519e34353f6	THEMELON	QM6MZ2497722
can_bae99606e606	THUGLIFE	QZTB32349261
can_29lxpx4ivien	TODO OK (PHILIP PLEIN)	BK4DA2512069
can_a337855ff614	TOTALAND	QM7282440723
can_fd637c199d10	TRUE RELIGION	QM6N22405337
can_0n8ns8nf571z	UUUU AAAA	BK4DA2617106
can_xfvlhsaxv9xg	UWU	BK4DA2546077
can_6lihr3uzziw5	VAINA EMOCIONAL	BK4DA2546086
can_9181bcdf9c0b	VAPE KING	QZFYZ2394134
can_wvt5wgpc4yuk	VERTICAL SPLIT	BK4DA2455534
can_7x639drbtvww	VICTORIO & LUCCHINO	BK4DA2609589
can_colab_sippin001	Vim do Norte - Iberian Remix (Sippinpurpp)	PTICN2500056
can_c3n7u0h5mz3l	VIVO COMO UN REY	BK4DA2609595
can_b9c7b62f7251	WACK	GBMA22499176
can_i8f1zrm1cg3h	WAIMA	BK4DA2507892
can_t5pysw90ym2c	WHITE WIDOW HOUSE	BK4DA2531603
can_f3f21c9403b8	WIILEAN	QZWFL2383066
can_colab_yungbee01	WINE (Yung Beef)	USUYG1736644
can_cnnh5pdsor9k	WORK IT UP	BK4DA2656450
can_fee71c7801cb	WTF	QZES72303399
can_p36atrly1so4	Yo puedo darte +	BK4DA2461858
can_f8d7ee9d3cd9	YOLONOTO	QM6N22444408
can_kdz0716ga8sa	YSL	BK4DA2552801
can_eg1vywz99k41	ZUMO DE MORA	BK4DA2609596
